id,tweet
77341,@JetBlue Can I name-change a ticket if it's been &lt; 24 hours after booking or is that always never allowed anytime ever? :P
77344,Wow. #BreakTheIce is probably my favorite @JetBlue campaign yet! Too bad I'll be in Cancun :( http://t.co/p3usKcZJlL
77345,"It's great that @JetBlue is offering a $32 sale. It would be even better if the website would let me buy tickets. So happy, then so, so sad."
77352,I'll be freezing my butt off but you cannot beat a $32 flight to Chicago!!! Thank youuu @JetBlue can't wait to see @pamperlstein 😍
77354,"@SouthwestAir A new year, a new trip! Off to San Francisco until Friday!"
77364,@JetBlue I'm having issues booking the return flight
77365,@hewyheff @JetBlue perfect gif lol. I hate being responsible 😩.
77371,"Hey @JetBlue, I'm trying to look at tickets from SEA to NYC but it seems as if your website and app are both not working..."
77373,"Hey @SouthwestAir @Virgin @JetBlue Hobnob solves your WiFi problems now and forever, we should talk: http://t.co/yTUEp6sBDA"
77374,"Hey @SouthwestAir @Virgin @JetBlue Hobnob solves your WiFi problems now and forever, we should talk: http://t.co/yTUEp6sBDA"
77401,@SouthwestAir does not joke around when it comes to weight limit. I got a lesson from miss Florence today
77408,@AmericanAir Anxiously awaiting regular service btw ORD and HAV! Or even MIA and HAV. Q: Can FF miles be earned on MIA/TPA-HAV charter?
77424,So the @jetblue #breaktheice offers are clearly only for old retired people who can just up and leave whenever. You got us good!
77425,@JetBlue Had $280 RT tickets in my cart and then the site timed out.  Now they're no longer available.  Any way to recover?
77431,@AmericanAir Resolved the issue with help from customer service.
77434,Missed the #BreakTheIce sale on @JetBlue cause the website wasn't working.. Woulda booked all of 2015's vacations today ðŸ˜’.
77440,Can't wait to have enough $$$ to buy a @SouthwestAir ticket to so my best friend @therealKirby
77445,"Priority boarding, row to myself, charger at the seat... Not a bad @AmericanAir flight from the big D to LGA. #limoliquor"
77452,How did I miss this $32 flights from @JetBlue smh all the good destinations already sold out
77461,@JetBlue are u extending the booking deadline past 4pm due to tech issues?
77464,@DeltaAssist Hi Delta!  I received a pre-boarding invite for Confirm #G7CVEX but I never booked a flight for that date.  Can I get help?
77486,@JetBlue I need to get a ticket-can I get a discount code because of the wait lag?
77500,Kinda tight I missed that @JetBlue sale.
77502,Did everyone else also miss the big $32 fare promotion from @JetBlue?! #REGRETS
77514,"May have missed the #BreakTheIce sale, but props to @JetBlue for such a cool promotion!"
77518,@JetBlue I'm on hold. Is it even worth staying on the line at this point?
77519,Hey @JetBlue ...I'm devastated I missed out on the $32 NYC tickets lol...will there be more cities to come?
77527,Super bummed that I missed out on the @JetBlue $64 RT deal to LA! Wasn't on Twitter when it went live b/c of work. 😤 Want to visit grandma.
77530,@AmericanAir is there a numer I can call due an invoice issue in México?
77536,wahhhh how did I miss @JetBlue #BreakTheIce promotion! #itsokayimbroke #butstill
77538,Last minute flight to Florida?! Can't wait for Saturday. good thing for miles. Thanks #jetblue #BreakTheIce #fofree @JetBlue
77541,"Missed the @JetBlue #BreakTheIce $32 sale? Our members didn't! For a limited time, get a free month of http://t.co/vSX7dptNXr Airfare deals"
77543,"Missed out on the @JetBlue deal but these red velvet @Oreo things are pretty good, so."
77546,"Wow there are some INSANE @JetBlue fares today to select cities, mainly from NYC"
77561,@JetBlue Had major problems getting thru on the web but finally go it to work on my phone. First time I've booked using the app #BreakTheIce
77562,Just missed @JetBlue's #BreakTheIce promo with $32 flights. WHAT.
77589,@united still waiting for resolution. Anyone?
77601,"@JetBlue I missed your deal because I was in class, I'm sad"
77603,WHAT?! SO SAD I MISSED THIS. @JetBlue http://t.co/6XfMNV9VOF
77606,Did anyone take advantage of the @JetBlue cheap flights? So mad I missed it.. #winterwhite #pale #needsun
77628,following @JetBlue because I'm not missing out on $32 dollar flights ever again this lifetime.
77629,Can't believe I missed the @JetBlue deals today. Hopefully they'll have it again
77636,@SouthwestAir how long do I have to you use a flight credit from a cancelled flight
77637,how on earth did I miss that @JetBlue promotion? @Delta and @VirginAmerica better step their game up #SkyClub
77638,how on earth did I miss that @JetBlue promotion? @Delta and @VirginAmerica better step their game up #SkyClub
77639,"@blurrygil @AlaskaAir Yeah, speaking of, tell someone to return my email re: missing milage request! ;)"
77641,"@deltaassist, flight delay and now maintenance issue is likely going to cause me to miss connecting flight, need help to get to YUL tonight"
77648,@JetBlue sorry I missed it. I usually get an email from u guys announcing these type of deals.
77653,Sorry I missed the $30 fare sale on @JetBlue today :(  #BreakTheInternet
77666,"@SouthwestAir #AlistPreferred IDEA-1change a month when your on a layover, 2.5hr wait, &amp; there's a bird leaving, w/ open seats, 2hrs sooner"
77668,Impressed w/ @VirginAmerica customer service response team. They addressed my issue &amp; fixed it. 👏✈️ #browniepoint
77677,I missed @JetBlue's flash sale and now I'm stuck in NJ.
77678,United Trails American as Merger Benefits Fail to Show http://t.co/itUym7TUoI unsurprising. @united makes me bitter. Treat 1Ks like crap too
77683,@AlaskaAir Is it possible to switch method of payments after ticketing? I realized I used the wrong card on multiple reservations..
77684,@SouthwestAir how about we get some Wifi on flight 41 from Houston to Phx.... Seems like every flight from Dallas &amp;Houston have no Wifi 😢
77690,@AlaskaAir How does a coach of a kids bball team ask me to switch from 24d to 26b so he can sit by his kid. Sorry I am not that nice. #479
77697,. @United Trails American as Merger Benefits Fail to Show - Bloomberg via @business http://t.co/rrngzXNdsm
77703,I am devastated 2 have missed that @JetBlue deal today...coworkers &amp; I spent 30 mins rushing to make that deadline with no luck #travelblues
77705,Flying to SC soon! the only part of flying that makes it better is flying @JetBlue ! IphoneAPP issues going on - glitching signing in..HELP!
77710,So mad I missed @JetBlue promotion ðŸ˜©ðŸ˜ž There's not going to be such an awesome offer like that again. #wahhhh #BreakTheIce #depressing
77735,There is no way @united is going to have my bag waiting for me in ELP after running to my connecting flight. I barely made it myself.
77738,I can't believe I missed out on $32 flights to Barbados......I feel sick. @JetBlue
77740,@AmericanAir  I just had to pay another carrier for first class. I'm shredding my AA card as soon as I can. Just missed my flight.
77745,@OleNateBBub @USAirways @SouthwestAir I had to book for dad bc he can't figure out the Internet. I would personally never fly @USAirways
77750,@sarahchapinHM I'm here on @VirginAmerica !  Can't wait to see what @HailMerrySnacks are here today!!! Woohoooo!!
77751,Man I lost my @Plantronics Baackbeat go 2 on @united flight 5239 and missed my connecting flight
77754,Ahhh so sad I missed the @JetBlue sale today!! Need a warm weather trip Stat...
77759,"Can't believe @SouthwestAir #fail, offers ONLY alcoholic beverages with Biz Select coupons, Idiotic to blow off non-drin"
77773,@JetBlue 😭😭😭 so sad I missed out on $32 airfare #BreakTheIce #jetblue I would have gone to Trinidad next week 🌴☀️ http://t.co/8PJsik4rAI
77782,@DeltaAssist I just cut the heck out of my hand on this. Where I sit. In first class. #platinum #tetanus #maintenance http://t.co/MrkcauRoEG
NA,NA
77790,"@AmericanAir Called the customer service number twice, been on hold for rep and then hung up on. Can you call me?"
77791,@SouthwestAir So...I'm stuck in Denver. Due to corporate deicing decisions. And the best you got is a voucher for an over priced motel?
77797,â€œ@kahreeen: I can't believe I missed out on $32 flights to Barbados......I feel sick. @JetBlueâ€ ðŸ˜¨ðŸ˜°ðŸ˜¨ðŸ˜°ðŸ˜¨ðŸ˜°ðŸ˜°ðŸ˜ªðŸ˜­
77809,"Delayed yet again because of @united mechanical issues, this time stuck in Denver because of a missed connection. At least no fire again..."
77812,New ifttt recipe from omarfaruk! @AmericanAir Sucks http://t.co/D052pUOyeN
77836,Waiting for my fligth!!! @AmericanAir http://t.co/jN7sv86Eba
77842,@SouthwestAir Det - bna flight delayed waiting on plane to be towed to the gate. C'mon!!  This is the first flight. Ridiculous...
77855,Flying @AmericanAir tomorrow instead of the usual @Delta flights. That new skymiles program is bad even for gold medallions! #getmiles
77866,"@united Flight 1080 was oversold this AM so my wife, baby and I got screwed. BS excuses were made and now we missing a wedding. Thnx United!"
77868,@AmericanAir first delay this year not bad.. I have 28k in miles but have not received upgrades any 500 mile upgrades. Is it 10k after gold
77871,@DeltaAssist I'm on the 6.30pm flight ORD-LGA but would like to switch to the 4.30pm flight. Is anything available and what would it cost?
77882,Incredibly upset I missed the @JetBlue promotion yesterday. Goodbye last chance to get away before the baby 👋
77888,@SouthwestAir - Failed again from a loyal A lister. CS wasn't much of a help either #BusSelectAnd25PassAlreadyOnFlight
77896,@jetblue registration form missing ? https://t.co/H0BJJrYLVZ also didn't work yesterday
77899,"@DeltaAssist still loyal, but disappointed in yet another change to the upgrade decision for platinum travelers  between NYC and SFO."
77900,#UCCan benefit plans members: give us your email &amp; never miss updates on pay/pension/benefits! MinistryandEmployment@united-church.ca
77907,"@JetBlue After a 15 minute wait, the customer service person told me the site had problems yesterday and then HUNG UP ON ME.  #what?!"
77910,@Takarita324 @AmericanAir We are actually waiting for deicing. Just sitting here. We were supposed to leave 43 minutes ago...
77911,@DeltaAssist this is the first time ever I'm about to miss my flight. What should I do?
77912,"@DeltaAssist I am flying from RIC to MSP &amp; then on to FSP 1st leg delayed 10 min &amp; I can make connect but DL rebooked me, can i deny change"
77915,@JetBlue Flying to Boston for the day on Saturday. Snow storm predicted in the evening. I can't afford to be stuck there overnight.-
77916,@DeltaAssist can you please switch me on the 2:30 flight to Memphis today
77947,@DeltaAssist hi I have a problem with the miles. My last trip Rome New York is not show up in the miles. What can I do??
77953,So much for creating loyalty with @delta Thinking of switching to @United now that I've got a choice in So Cal #travel #FrequentFlyer
77956,@DeltaAssist i'm still waiting the answer for my claim!
77957,@ATT finally updated for iPhone 6. Still waiting on @YahooSports @LinkedIn @SchwabService @Starbucks @JetBlue @AmericanExpress @creditkarma
77958,"@virginamerica so disappointed in first class in flight 713 out of love. No water when boarding, did get a coffee before flight"
77961,@SouthwestAir your phone time holds are ridiculous. who else can i talk to about using a travel fund credit for an upcoming trip?
77963,@NobodyEpic @united You will be missed.
77965,"@SouthwestAir Guys, been on hold for over 36 mins!! I booked a rewards flight and have a confirmation number, but I can't change it. HELP!!"
77974,@JetBlue @hobby called final boarding tho I still had a meal I was waiting 4. Boarded w/ heavy heart only to find they got it 4 me. Thank u!
77978,@SouthwestAir Any idea when your computers will be back up? I have an employee who's stuck in limbo in Austin.
77991,@SouthwestAir I've been on hold for 35 minutes. How can I get through to Customer Service regarding my upcoming flight?
77993,"@SouthwestAir Been on hold for 20 minutes and lunch is over. How can I change my companion online, since you don't have enough phone staff?"
77997,"@AmericanAir Bought an upgrade 2 1st class and they still wanted payment for bag. In flight, no service at all. New policy?"
78024,"@JetBlue your long beach team is really failing us on flight 736 to SFO. Multiple delays, waiting for your pilot to go get his clothes."
78028,@SouthwestAir Need to change flight for Mon &amp; have been on hold for a live person while listening to bad music with for 42 mins an counting!
78035,"Can't wait to be in sunny, warm Miami in less than 24 hours! Poll: Should I upgrade to @VirginAmerica main cabin extra seats for a redeye?"
78039,"@AmericanAir quad fail. Trying to book ticket, 4th call. Error in booking. Now 11 min wait on web helpline."
78040,Boarded and comfy... And now we may have to switch planes. Hope our ride will still pick us up cc @alaskaair
78042,Really @AmericanAir? You charge for every piece of luggage and still can't get it on the plane?! #fail #AA2583 #lostbag
78049,@koalibears @united the travel gods are being real assholes to you this week. LEAVE KOALI ALONE ðŸ˜¡
78056,"I haven't been in #Alaska for more than 8 hours in over a month! @AlaskaAir don't fail me today, the kids are waiting!! See u later KCMO!"
78058,@JetBlue Please have more promotions! Can't believe I missed out yesterday.
78059,@AmericanAir is still keep promising! But no answer to disappointed customer! #WORST #Fail #WhatShoulIDoMore?
78060,#throwback pic I took of @jetblue E190 at boston logan waiting to push last year. #jetbluesofly #JetBlue #bostonlogan http://t.co/zognVpJMzQ
78064,"â˜… @VirginAmerica â€¢ Does loyalty have you stuck in 1986? Break free and score up to 7,500 Elevate po...: Does l... http://t.co/bstJ95XdJt"
78065,"â˜… @VirginAmerica â€¢ Does loyalty have you stuck in 1986? Break free and score up to 7,500 Elevate po...: Does l... http://t.co/ZSfVkhTuij"
78066,"â˜… @VirginAmerica â€¢ Does loyalty have you stuck in 1986? Break free and score up to 7,500 Elevate po...: Does l... http://t.co/4QSTIgwAnj"
78067,"★ @VirginAmerica • Does loyalty have you stuck in 1986? Break free and score up to 7,500 Elevate po...: Does l... http://t.co/nCJDHlrFAL"
78071,@SouthwestAir Everything can't be handled online! You wasted 60 min of my life &amp; still never answered the phone #FAIL http://t.co/7Ih01s2VBK
78074,@SouthwestAir Very disappointed I can't use my unused travel funds. Have to flush them down the toilet even though I have $70 in my name.
78086,Great customer service @AlaskaAir and by great I mean you are the worst. Just keep robbing people it's no big deal
78087,First time in years I leave something on a flight - hopefully @united will find my missing iPad from yesterday flight 488 LAX to  IAH
78090,"@JetBlue The plane has landed and is ready to go, but we have to wait another 2 hours to get a new crew to SFO"
78093,@DeltaAssist don't understand rationale to let a flight leave w empty seats &amp; my wife there early for next flt. No go unless she pays $50.
78097,@JetBlue android app almost made me miss my flight yesterday. Kept crashing when loading boarding pass. Thankfully no line for counter!
78103,"@SouthwestAir I’m missing my grandmother’s Rosary tonight, won’t arrive till after 8p #southwest #fail"
78105,"""@BMonalisa_: Can't wait to get away. I just need a day or two."" Same. Missed those $32 flights from @JetBlue tho smh."
78109,@Delta your little fiasco at JFK today to SLC just confirms to me why I fly @AlaskaAir and why Delta is the worst airline in the US.
78112,"@ajdegenhardt no luggage = can't coach/work and, worse yet, no meds for your MS!? @AlaskaAir better give you and wife free flights! Minimum."
78120,@DeltaAssist my flight got cancelled and I was forced to change my trip plans.I'm also having to leave my destination earlier than I planned
78121,@AlaskaAir flight delay out of SFO has made us highly unlikely to make our connection to Bozeman. No options for rerouting. Can you assist?
78125,"@SouthwestAir in cancun, bag is lost, help. DAL&gt;AUS&gt;CAN RR#20039741853 http://t.co/4nbksU6jqJ"
78126,@united why do you automatically cancel a return flight if someone missed the first flight? #NotCool
78129,"@SouthwestAir, I cancelled a flight for @RoyRoysWorld. Now, no record and I'm out $$?! #badcustomerservice #southwestair"
78137,me &amp; kronburger had to stuff our hoodies in our lower back to make these shitty @united airlines seatsâ€¦ http://t.co/SG9DjZoKbK
78140,.@SouthwestAir have been on hold 3 times today for  &gt;20 min with no answer. add a call back feature to your IVR #customerservice #sucks
78144,"@AlaskaAir applied for a signature card, given the wrong card, mistake is taking too long to correct, will likely miss the flight I wanted."
78145,"Waiting for my flight (at @United Club in Chicago, IL) https://t.co/rGpzjMQd9w"
78154,@SouthwestAir I'm really glad I paid $8 for wi-fi that barely worked. I got SO much done! (can you see the sarcasm in my typing?) #fail
78155,"@VirginAmerica Hey, I've been trying to reset my account password but not working. Can you advise?"
78159,"@SouthwestAir I booked a trip this morning but never got the confirmation &amp; it's not in my profile. Now, I'm trying again &amp; prices changed."
78162,@ByronYork @USAirways Fly @JetBlue I'm sure they wouldn't have a problem with that
78195,Kicking it on @SouthwestAir about to visit BWI http://t.co/4NL5kjStVv
78198,@alexaiello @VirginAmerica @SFBART Woooo! Can't wait to have you.
78201,I need to buy my moms flight i keep stalling cuz im waiting for @JetBlue to lower their flights from sdq to jfk
78207,@DeltaAssist Request to hold Delta Connections in Detroit for Flight 5604 with disabled nose gear.  Many of us could miss 8pm connections.
78212,"@AmericanAir My mom, a frequent flier missed her flight bc of bad service from AA. She's trying to get on the next flight out-help?"
78217,@united worst customer service. First time heard CSR cannot call back the customer to resolve issue or to give information.
78221,@DeltaAssist &amp; @Delta staff in Philadelphia have the worst customer service. They don't care about anyone and they don't give the extra mile
78227,@united going to miss connection in ORD to get me home because of issues in LIT. How you hooking me up?
78229,@united never change your theme music. http://t.co/7BH7gSce79
78230,Did I leave my @SouthwestAir drink tickets at home too?? #badpacking #didntusealist #mustaddfitbitanddrinkticketstolist #LPtravelday @sgoodl
78234,worst customer service from SFO @united today
78235,"Disappointed w/ @JetBlue flight up to Boston, TV didn’t work right. now flight back to Orlando &amp; tray table doesn’t work! #ridiculous"
78239,@united okay UNITED is anyone listening. 10 DAYS now and still waiting for SOMEONE to respond.  What happened to CUSTOMER SERVICE!!!!
78240,People thought I was missing my connection. Nope just had to get to the @united Club to watch the end of #shbb game http://t.co/qudSLE3BjP
78244,"@AmericanAir had the worst experience with you guys at miami international. No curbside, made me miss flight. standby w/kid. still no seats"
78246,@AmericanAir You have hands down the worst customer service! My brother is on hold after calling your customer service for the 6th time! #AA
78248,@AmericanAir ok we are still waiting for a refund and still waiting for an email to confirm we are waiting for a refund. #HowHowHow
78257,"I hate you @Delta and the fact you make us wait for 3 hrs for bullshit maintenance then change our flight, @SouthwestAir is officially best."
78260,@DeltaAssist @DeltaAssist - Gold medallion always having issues getting an aisle seat. purchased ticket a month ago  - what gives?
78263,"Friend's missing luggage arrived on a @united flight 2 hours ago. No phone call, email - nothing. Everyone at their Killeen desk went home."
78265,How does this even happen?! @mspairport @Delta @DeltaAssist @LASairport #broken #travelwoes #BadHairDay http://t.co/xhYswq4ZtK
78266,"Hey @AmericanAir @AlaskaAir I booked a tick from OAK to Vancouver for 2/13 with miles, what do you have avail on 11 or 12 I could switch to?"
78267,"Hey @AmericanAir @AlaskaAir I booked a tick from OAK to Vancouver for 2/13 with miles, what do you have avail on 11 or 12 I could switch to?"
78279,"@SouthwestAir just asked for the cast of ""Family Affair"" and ""Leave it to Beaver"" to board #LastPlaneOutHumor"
78288,@AmericanAir .. Fail Fail and Fail http://t.co/w5TXHQbkf1
78301,@AmericanAir I am still waiting for a reply from supervisor. Can you advise when they will reply
78307,@united waiting for survey for flt 1570 ewr -tpa. Worst flight attendants that I have had in yrs. must have been sick on customer srvc day!
78315,"@united @FlyingBrussels  HORRID CUSTSVCE-STUCK IN FRKFT OVRNT, #LOSTLUGGAGE x 5 mons - Shame on UA&amp;Brussels Air.Employees &amp; unkept promises"
78319,Fly @united we'll do everything we can to make this as inconvenient as possible. - #truthinadvertising
78323,I gave you chance @United to make up for your abysmal service.  Denying someone a ticket due to your error is illegal.  Hello Wacker Dr?
78327,@DeltaAssist I got home tonight on a flight from MSY to MLI to find my luggage ruined.  Can you help in any way? http://t.co/9LaEjC4oGr
78330,Never pay to much again. @VirginAmerica will price match the competition! http://t.co/it3n64Ki1c
78336,@AmericanAir  I can leave my iPod at home now! :)
78340,@AmericanAir Worst customer service ever!  I thought I would miss US Air.  A rock is more flexible than these people!
78343,@DweebTheFuko @AmericanAir IM STILL WAITING ON THEIR RESPONSE. THR SUSPENSE IS REAL
78347,@united missed the fleet wood Mac concert :(
78349,@DeltaAssist I'm missing some #DeltaSkyMiles on a few segments of international flights with the family...help?
78353,@AmericanAir had to call customer service twice today cuz of issues with my flight schedule. the first person i talked to was so unhelpful
78354,"we don't want to see leave us,@united needs you most"
78362,@USAirways @AmericanAir I am deeply saddened and dismayed by your lack of concern and response regarding my damaged Tumi bag #disgraceful
78367,S/o to @AmericanAir for not letting me know my 7:30 AM flight was cancelled. Let's hope I make it to my COLLEGE AUDITION on time.
78369,@AmericanAir bout to miss my connection in Dallas only had 45 min and we are still on the ground in Tulsa .. What can a brother do
78373,@united no such luck. I got stuck in Houston &amp; didn't make it home to her and a new baby
78375,Damn it @JetBlue how the hell I miss out on this promotion????
78377,"Okay, we're now waiting to fly to SAT. @americanair, don't let us down! Please get us to #PAXSouth2015 on time!... https://t.co/k2Rw8L3xdm"
78378,"@DeltaAssist stuck on runway in CLT, headed to ATL. Delayed an hr which means I miss my connecting flight to AUS. What can I do?"
78385,"@cenkuygur @VirginAmerica starts at the top. Virgin CEO has been quoted trying to ""solve"" middle seat problem."
78389,So apparently i missed out on a great @JetBlue sale 2 days ago smh
78390,Once again I will miss my connecting flight @AmericanAir Why do I fly with you?
78395,"@Nickishields @willbuxton @Delta @DeltaAssist On the flip side, my old mans lost bag arrived home before he did after a  BA flight"
78397,@AmericanAir first class upgrade that I would PAY for and they would not let me upgrade because I'm not platinum @VirginAmerica I miss u
78401,Who out there has #lostluggage when flying @AmericanAir? My bag got lost 2 months ago and I've found the response avoidant &amp; unprofessional
78406,Wait!! @VirginAmerica has flights from EWR!! When did this happen?! #AmenAndHallejuah
78409,@jetblue I'm a little upset that you don't tell your customers that there's a $50 change fee if you change your flight over the phone. 1/2
78411,@DeltaAssist I am beyond angry. I bought a first class seat from SDF to BIL and on the first leg was downgraded with no explanation.
78412,I need to know what movies @JetBlue are showing today so I can make sure not to download them before the flight. First world problems?
78414,Photo: @AlaskaAir wants me to return to sunny SoCal. I miss the sunshine. #tempting #holiday http://t.co/ErZGhIucNZ
78417,@AmericanAir what happened to family boarding?? Waiting to board on the jet bridge with my 6 month old daughter and its 40 degrees!
78423,I miss @VirginAmerica - the only airline to fly to New York.
78427,And @AmericanAir still won't let me leave today instead. http://t.co/1jaAIvKT5F
78431,@SouthwestAir Call center problems? When best time to call? 1/22 - on hold for 45 minutes then dropped. 1/23 for 20 mins then dropped.
78433,Getting packed! Can't wait to go home. If only I didn't have an 8hr layover in Dallas. But at least @AmericanAir doesn't bother me as much!
78444,"You might just want to leave the whole snack basket right there, @Jetblue. #trainingcamp #feastmode #carbloading http://t.co/pFqfyliHnH"
78449,This is why I prefer to not fly @united only airline to continuously screw me up with delays and missed connections👎👎👎👎👎👎👎👎👎😡😡😡😡😡😡
78459,Missing @Delta flying @united ORD to SFO and no Wifi.
78461,@VirginAmerica hey vx23 to SFO flight computer is broken and we are delayed!!! Can you make me a little more comfortable while I  wait?
78465,@AlaskaAir why does flight #3497 ALWAYS have issues? Starting to just expect delays and issues everytime I take this flight.😢 #makeitright
78471,"@AmericanAir how long should I expect to wait for a reply from Customer Care? Sent message on the 12th, no response and again on the 20th."
78472,@SouthwestAir your ticket counter agents at @RDUAirport are the rudest and shittiest ever. This is why I fly @Delta.
78474,My flights in @AmericanAir won't be the same! .@mashable: RIP #SkyMall. You will be missed. http://t.co/4EpMNVsRmb http://t.co/TnrHdBPo9n
78478,.@SouthwestAir our #swcargo has been missing for A MONTH. Already been through proper channels. Bill # 76653846. Are you mental?
78479,I CANNOT BELIEVE I MISSED @JETBLUE $32 FLIGHTS TO TRINI YESTERDAYðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­
78483,"""@moniihoney: I CANNOT BELIEVE I MISSED @JETBLUE $32 FLIGHTS TO TRINI YESTERDAYðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­"" ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±"
78485,"@SouthwestAir claims to ""LUV"" its customers. But, when tough questions are asked about service... #fail #badcustomerservice #southwestair"
78500,@united Question: where can I leave a comment re: an employee? We had fabulous service &amp; want to acknowledge her.
78502,Why sell @VirginAmerica bcs of higher pay for employees? Never bad to invest in your people. Adds strength. http://t.co/AJXMkZmNYD #investor
78503,@AmericanAir I'm already booked on @SouthwestAir (or wouldn't be home until late tonight). Just need my bag. Have been waiting 3 hours.
78504,@AmericanAir I'm already booked on @SouthwestAir (or wouldn't be home until late tonight). Just need my bag. Have been waiting 3 hours.
78516,@JetBlue thanks. I'm refreshing the page every 5 minutes waiting. I have my eye on a flight out tonight but can't do anything yet.
78519,Sick of @AmericanAir fees. Missing my grandmother's funeral due to exorbitant change fee and paying for aisle seat on the redeye tonight.
78525,Always sad canceling a vacation. Feels a little better with great customer service. Thank you @AlaskaAir @RoyalCaribbean we will be back!
78531,"@FlyOrh @JetBlue So exciting! What's the timeline for that? It can't come soon enough, can't wait to fly out of ORH for work instead of BOS."
78533,#MEGAPLANE by @luv4aviation Southwest 737.  Dont miss a beat! @southwestair  #aviation #avgeek #instagramaviation... http://t.co/hG5cKrqFcr
78541,Just booked our PAX East tickets on @VirginAmerica - can't wait for our first show!
78542,"@AmericanAir - I'm an elite, sister was just denied boarding due to @TSA wait times. Please assist. #sjumia"
78543,"Stuck on the ramp at SFO. Please don't make it two bad days of flying, @JetBlue."
78555,Wait until I tell you what's NEW in Caribbean Travel!! @Paradisus @PASSPORTmag @JetBlue @Jetsetterdotcom @TripAdvisor http://t.co/Jokqvfb3dU
78560,Our vacation is being ruined by @AmericanAir because of a cargo door. Missed our Miami connection and can't take our bag.
78565,"@KiMMY_L @Delta @SouthwestAir kinda a big deal, wedding dress shopping that she's missing out on...."
78566,@NCLairport @united whoop we can't wait !
78572,Flew @JetBlue and they gave me my bag back completely ripped w no answer to me complaints #boycott http://t.co/BfIEoBabB8
78573,"Two flights @Delta yesterday first flight no window, window seat! Really sucks! @DeltaAssist http://t.co/rHReEFSCft"
78585,"Dear @AlaskaAir, you're entitled to delay us 2 hours w/ no reasonable explanation. But don't make up absurd excuse. Now I don't trust you."
78589,@DeltaAssist My and my parents flight was cancelled due to weight balance issues. How can I complain about this?
78591,Can't wait to be on the airplane. #wheelsup #united @united #OKC
