,sent,id,tid,airline,rtag,tweet
39,0,77288,5.58E+17,SouthWest,lW?u8x48>Tha,First @SouthwestAir trip of 2015 kicks off with Company Wide Culture Committee induction! BRING IT! ðŸ’™ðŸ’›â¤ï¸ DAL --&gt; HOU #SWALife
40,1,77289,5.58E+17,Delta,lW?u8x48>Tha,This is so frustrating @Delta @DeltaAssist. It's taking forever for my wheelchair to get fixed - the one you dropped from the plane.
41,1,77290,5.58E+17,American,lW?u8x48>Tha,"@AmericanAir tengo una terrible experiencia por reembolso de un ticket que se cobrÃ³ doble en septiembre y todavÃ­a no me resuelven, muy mal ."
42,0,77291,5.58E+17,United,lW?u8x48>Tha,@united sent you a DM re: my lost bag.  Is it coming?
43,1,77292,5.58E+17,United,lW?u8x48>Tha,"Ok @United, let's see if your story stays true. #1149 delayed 20 mins into #DIA. 11:57a, the clock starts. Waiting at #mco"
44,1,77293,5.58E+17,JetBlue,lW?u8x48>Tha,"@JetBlue oh...just a NY sale ðŸ˜• Boston never gets any love-Logan has an entire terminal for B6 now, come on, man!"
45,0,77294,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Wants to Teach Passengers How to Be Less Rude - http://t.co/RrXibutPk8 #travel cc: @skiftnews
46,1,77295,5.58E+17,American,lW?u8x48>Tha,@AmericanAir flt 2634 lands 25 min late and then told must wait 20 min for gate. Many connections at risk. How does AA not plan for this?
47,1,77296,5.58E+17,SouthWest,lW?u8x48>Tha,Why is it that my Southwest Rapid Rewards Points never ad up to even a one way trip: #overit @SouthwestAir
48,0,77297,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue I'm trying this now but it still books for $290? what am I missing?
49,1,77298,5.58E+17,American,lW?u8x48>Tha,AA your bullshit website is telling me I can't check in when I'm already checked in. @AmericanAir http://t.co/HCAXJY8awF
50,1,77299,5.58E+17,United,lW?u8x48>Tha,Never flying @united again. Rude reps at check in. Broken seats. And rude flight attendants.
51,0,77300,5.58E+17,AlaskaAir,lW?u8x48>Tha,@AlaskaAir Woot! Woot! Another excuse to fly and experience the Tom Douglas inflight menu :-)
52,1,77301,5.58E+17,American,lW?u8x48>Tha,"@AmericanAir we forgot a backpack in a plane and someone steal our Dell laptop, and you don't do anything. Shame on you"
53,0,77302,5.58E+17,VirginAmerica,lW?u8x48>Tha,@VirginAmerica Clearing my schedule 4 2/23! Waiting 4 that call!! ðŸ˜œ Had a great time last Fri. Meeting great peeps! You're all awesome!
54,1,77303,5.58E+17,American,lW?u8x48>Tha,"Why are airline fares still so high, with fuel prices so low. What am I missing @AmericanAir  @Delta ?!?!"
55,1,77304,5.58E+17,United,lW?u8x48>Tha,"Hey @United, my flight woes were not weather, but mechanical. Will you please revisit this issue?  #notmyfault"
56,0,77305,5.58E+17,VirginAmerica,lW?u8x48>Tha,"@DJDirtyBeagle @VirginAmerica sounds like a ""you"" problem, brohan! Raise hell and stand up for your right to #consumeraccountability #revolt"
57,0,77306,5.58E+17,United,lW?u8x48>Tha,"Necklace is still missing in action, but @united &amp; @chargerbk FOUND MY iPAD 2 MONTHS LATER ðŸ‘ðŸ‘ðŸ™ðŸ™ #HipsterHunt2015"
58,1,77307,5.58E+17,United,lW?u8x48>Tha,Looking to purchase an upgrade and being told by one to call the other is not working for me @united @TK_US.
59,1,77308,5.58E+17,American,lW?u8x48>Tha,@AmericanAir btw we never got any email post flight from customer service. We were told everyone would be given miles or credit.
60,1,77309,5.58E+17,American,lW?u8x48>Tha,@AmericanAir still offering an unacceptable response to canceling my flight and changing my vacation plans. Shame on you.
61,0,77310,5.58E+17,JetBlue,lW?u8x48>Tha,"Friends in NYC, @JetBlue is running an insane deal right now. $32 one-way. http://t.co/CA4aNy8YwZ"
62,1,77311,5.58E+17,AlaskaAir,lW?u8x48>Tha,"The seatbelt in seat 21A, @AlaskaAir 131 PDX to ANC, is installed poorly. Have to twist belt on buckle side to fasten correctly. Boo."
63,1,77312,5.58E+17,JetBlue,lW?u8x48>Tha,UGH! @JetBlue I am SO UPSET! I booked a ticket and now I see the special deal.. Upset. :( HELP
64,1,77313,5.58E+17,American,lW?u8x48>Tha,@AmericanAir so just how long are we supposed to wait for this refund!
65,0,77314,5.58E+17,JetBlue,lW?u8x48>Tha,"Shit, New Yorkâ€”you don't HAVE to deal w that cold. Check out these awesome @JetBlue dealzzz: http://t.co/I1zqsn1c87"
66,1,77315,5.58E+17,JetBlue,lW?u8x48>Tha,"@joahspearman @JetBlue so sad lol. I was trying to fly there and then get one of the deals on the reverse. But you can only fly M,W or Sat"
67,1,77316,5.58E+17,JetBlue,lW?u8x48>Tha,Dear @jetblue your blue toilet water fell on my car by the Long Beach airport. Fuck you!!
68,1,77317,5.58E+17,JetBlue,lW?u8x48>Tha,"Soooo, when is @JetBlue coming to Atlanta? Those fares are insane."
69,0,77318,5.58E+17,JetBlue,lW?u8x48>Tha,@jetblue has $32 flights out of #JFK #LGA #EWR ~ too bad I live in #ATL ~ maybe the fare God's will add us to the list! #Breaktheice
70,0,77319,5.58E+17,United,lW?u8x48>Tha,Missing #family #mom'sCookedFood #chai #friends #gossips #home #india when am I #GoingHome @united http://t.co/iXX61elKKj
71,0,77320,5.58E+17,United,lW?u8x48>Tha,“@united: @KedmaOugh What are the flight details? Ian to Denver ua1659 to pdx ua1128 ..flight missed was from Houston to portland
72,1,77321,5.58E+17,American,lW?u8x48>Tha,@arianaalfonso @AmericanAir call and ask to speak with a manager. Scream and yell and curse a lot and they will send you a voucher #works
73,1,77323,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue why every time I go through the process of reserving a flight am I kicked back to your homepage #frustrated #flysouthwest
74,1,77325,5.58E+17,American,lW?u8x48>Tha,"Annoyed @AmericanAir changed my flights gate on me with no announcement or notice, meaning I missed my flight #poorform #unimpressed"
75,1,77326,5.58E+17,JetBlue,lW?u8x48>Tha,@jetblue @dealswelike I'm having the same issue as well :(
76,1,77327,5.58E+17,American,lW?u8x48>Tha,Hey @AmericanAir why has your merger gone so bad for @USAirways freq fliers?  You screwed up my wife's Midwest itinerary today BIG TIME!!!
77,0,77328,5.58E+17,JetBlue,lW?u8x48>Tha,Can't say I never looked out. $32 tickets until 4pm. From @JetBlue.   http://t.co/UhBahw7bY2
78,1,77329,5.58E+17,VirginAmerica,lW?u8x48>Tha,"@VirginAmerica Is your website broken today? Can't search for flights, finally found a workaround, now it won't let me pay"
79,1,77330,5.58E+17,JetBlue,lW?u8x48>Tha,@jetblue tryna book that sweet $64 roundtrip JFK &gt; SFO but your site crashed and now i lost my return flight!  #jetblue #jetblueballs
80,1,77331,5.58E+17,JetBlue,lW?u8x48>Tha,"@JetBlue your website kept freezing up all night yesterday and now I try to go in again, site still freezing and ticket went up $10 #notokay"
81,1,77332,5.58E+17,JetBlue,lW?u8x48>Tha,"Ugh, @JetBlue website can't handle the influx from the #BreaktheIce deal and I can't even search"
82,1,77333,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Your site is not working
83,1,77334,5.58E+17,JetBlue,lW?u8x48>Tha,@malanconnelly @JetBlue shit's broken
84,1,77335,5.58E+17,VirginAmerica,lW?u8x48>Tha,NEVER FLYING @VirginAmerica AGAIN! Seriously the trip from hell 😒
85,1,77336,5.58E+17,SouthWest,lW?u8x48>Tha,Ugh. Screw you @united and your freaking change fees. I'm never flying @united again. EVER. @SouthwestAir don't ever do this. PLEASE.
86,1,77337,5.58E+17,United,lW?u8x48>Tha,Ugh. Screw you @united and your freaking change fees. I'm never flying @united again. EVER. @SouthwestAir don't ever do this. PLEASE.
87,1,77339,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Your website is down and I got screwed out of a $32 return to NY. NOT COOL!
88,1,77340,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue I PUT MY CREDIT CARD IN AND LOST MY FLIGHTS IM GONNA FREAK OUT ON YOU PEOPLE
89,0,77341,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Can I name-change a ticket if it's been &lt; 24 hours after booking or is that always never allowed anytime ever? :P
90,1,77342,5.58E+17,United,lW?u8x48>Tha,@Aeroplan @united @AirCanada My flight ticket says to refer to AC policy on baggage which says it should be $50. But I'm in Biz Class. #fail
91,1,77343,5.58E+17,United,lW?u8x48>Tha,Leaving Tampa via @united. They have still not responded to our complaint and refuse to compensate us for ruining our vacation. #EpicFAIL
92,0,77344,5.58E+17,JetBlue,lW?u8x48>Tha,Wow. #BreakTheIce is probably my favorite @JetBlue campaign yet! Too bad I'll be in Cancun :( http://t.co/p3usKcZJlL
93,0,77345,5.58E+17,JetBlue,lW?u8x48>Tha,"It's great that @JetBlue is offering a $32 sale. It would be even better if the website would let me buy tickets. So happy, then so, so sad."
94,1,77346,5.58E+17,United,lW?u8x48>Tha,@SuushiSam Just get home safely :/ then give @United hell
95,1,77347,5.58E+17,JetBlue,lW?u8x48>Tha,"alas, LA will have to be postponed. fuck @JetBlue and anybody that love em."
96,1,77348,5.58E+17,JetBlue,lW?u8x48>Tha,After a million tries @jetblue your site is plain not working. Awesome promotion.  :(
97,1,77349,5.58E+17,JetBlue,lW?u8x48>Tha,"@JetBlue I tried to refresh my checkout and lost my flight, any update on server issues?"
98,1,77350,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue  Trying to book a flight and your servers are crashing. Not good.
99,1,77351,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue is there an issue with your site? Been trying to book a flight for the past 30 mins and can't get it to go through.
100,0,77352,5.58E+17,JetBlue,lW?u8x48>Tha,I'll be freezing my butt off but you cannot beat a $32 flight to Chicago!!! Thank youuu @JetBlue can't wait to see @pamperlstein 😍
101,1,77353,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Love the sale fare idea. Too bad your website doesn't work to allow anyone to purchase tickets.
102,0,77354,5.58E+17,SouthWest,lW?u8x48>Tha,"@SouthwestAir A new year, a new trip! Off to San Francisco until Friday!"
103,1,77356,5.58E+17,JetBlue,lW?u8x48>Tha,@thepointsguy #AWFUL TIME FOR @JetBlue APP &amp; MOBILE SITE TO NOT WORK :-( #BreakTheIce
104,1,77357,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue trying to book your break the ice deal and just got kicked off the site 3/4 of the way thru booking and now can't get thru! aaahhh!
105,1,77358,5.58E+17,United,lW?u8x48>Tha,"Another @United flight; another broken plane, another delay, another missed connection."
106,1,77359,5.58E+17,JetBlue,lW?u8x48>Tha,"THRICE I was away from the credit card page before getting kicked back to start. @JetBlue, this is feeling like a sad game of monopoly."
107,1,77360,5.58E+17,JetBlue,lW?u8x48>Tha,.@JetBlue makes me sick! what if we're tired of the sun and want to freeze our asses off? #sad!
108,1,77361,5.58E+17,United,lW?u8x48>Tha,"â€œ@AndiMann: Another @United flight; another broken plane, another delay, another missed connection.â€ &lt;- bummer!"
109,1,77362,5.58E+17,SouthWest,lW?u8x48>Tha,"On the plane. A little late on @SouthwestAir, due to snow in Denver.  Day dreaming about dem' slopes!  @skisteamboat http://t.co/zFL3cCaG5g"
110,1,77363,5.58E+17,JetBlue,lW?u8x48>Tha,Hey @JetBlue - I've tried buying a ticket from LAX---NYC numerous times and your server isn't working.  #Frustrated #BreakTheIce
111,0,77364,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue I'm having issues booking the return flight
112,0,77365,5.58E+17,JetBlue,lW?u8x48>Tha,@hewyheff @JetBlue perfect gif lol. I hate being responsible 😩.
113,1,77366,5.58E+17,JetBlue,lW?u8x48>Tha,This @JetBlue #BreakTheIce Promotion is insane http://t.co/5vwqFb5dzL CONGRATULATIONS!
114,1,77367,5.58E+17,JetBlue,lW?u8x48>Tha,"@JetBlue I am, and apparently missing all the deals :/ I just want to visit my best friend!"
115,1,77368,5.58E+17,JetBlue,lW?u8x48>Tha,"#BreakTheIce has broken the @JetBlue website, and Kim Kardashian's butt isn't even part of the deal"
116,1,77369,5.58E+17,United,lW?u8x48>Tha,@united @billburton sand in your vagina?  Here let me kick it out for you.  Couple of pansies who won't ever see my money again...
117,1,77370,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue thanks for closing my flight way too early so i miss it and have to wait around for the next one
118,0,77371,5.58E+17,JetBlue,lW?u8x48>Tha,"Hey @JetBlue, I'm trying to look at tickets from SEA to NYC but it seems as if your website and app are both not working..."
119,1,77372,5.58E+17,American,lW?u8x48>Tha,Woke up and all I could think about is going to hit... Really still mad at you @AmericanAir
120,0,77373,5.58E+17,JetBlue,lW?u8x48>Tha,"Hey @SouthwestAir @Virgin @JetBlue Hobnob solves your WiFi problems now and forever, we should talk: http://t.co/yTUEp6sBDA"
121,0,77374,5.58E+17,SouthWest,lW?u8x48>Tha,"Hey @SouthwestAir @Virgin @JetBlue Hobnob solves your WiFi problems now and forever, we should talk: http://t.co/yTUEp6sBDA"
122,1,77375,5.58E+17,JetBlue,lW?u8x48>Tha,"@JetBlue having lots of problems w site right now booked one flight but then we couldn't book mine. Called, on hold, then disconnected help!"
123,1,77376,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue You are killing me!!! Trying to book flights and site has crashed several times. V frustrating user exp. #BreakTheIce
124,1,77377,5.58E+17,American,lW?u8x48>Tha,Hey there @AmericanAir as a life time 1 million customer wanted to tell you your 2015 service to date is horrible. Thinking about quitting
125,1,77378,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue your site keeps crashing and mobile app not working trying to get a $32 fare
126,1,77379,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue THIS IS A REALLY BAD TIME FOR YOUR WEBSITE TO BE MESSY
127,1,77381,5.58E+17,American,lW?u8x48>Tha,"@AmericanAir wondering why AA 332 is delayed? It's making me miss my connecting flight, but I've already taken care of setting up another."
128,1,77382,5.58E+17,JetBlue,lW?u8x48>Tha,that horrible moment when the @JetBlue site messes up on you just as your about to buy a $64 RT flight...goes to a corner to cry a river
129,1,77383,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Been trying for over an hour to book a flight! And currently almost 20 minutes on hold to try to book a flight over the phone #HELP
130,1,77384,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue is your server down? having issue trying to book potential options for $32/32 deal!
131,1,77385,5.58E+17,Delta,lW?u8x48>Tha,@DeltaAssist please respond to my messages as this is unacceptable
132,1,77386,5.58E+17,VirginAmerica,lW?u8x48>Tha,Losing my damn mind trying to check in on the @VirginAmerica website. What. The. Fuck.
133,1,77387,5.58E+17,United,lW?u8x48>Tha,"@jonostrower Ditching 787s for 77W? Again, a bad and reactive move by @united - behind @AmericanAirlines and @Delta"
134,1,77388,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue website is the absolute worst. I've been trying to book a flight for over an hour and it keeps kicking me out!
135,1,77389,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue What's up with http://t.co/7bCONUv5g1?  Trying to book flights for next week....I think your internet is broken.
136,1,77391,5.58E+17,JetBlue,lW?u8x48>Tha,@SoleHipHop @JetBlue smh they need to step their shit up
137,1,77392,5.58E+17,United,lW?u8x48>Tha,@united flight delayed 2 hours due to mechanical fault. Missed my connection and now sitting here looking at an empty united desk.
138,1,77393,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue was kicked off after selecting seats from your #BreakTheIce special!!! Help!
139,1,77394,5.58E+17,American,lW?u8x48>Tha,@JLJeffLewis @AmericanAir in Cle delayed 2nd time to JFK. Connecting to Europe. rudest lady working the counter. #Hopemybagsmakeit #aasucks
140,1,77395,5.58E+17,United,lW?u8x48>Tha,Trapped on runway for hour should have been home now still in Denver someone please bring me a Diet Pepsi @united never disappoints to fail!
141,1,77397,5.58E+17,American,lW?u8x48>Tha,@AmericanAir how much should I Charge You over 5 hrs delay due to a maintenance issue of your plane? For a 45 minutes flight!!
142,1,77398,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue it's more like #BreakTheInternet instead of #BreakTheIce your website is not working
143,1,77399,5.58E+17,SouthWest,lW?u8x48>Tha,@SouthwestAir my flight outta denver already delayed to Atlanta going to make connection to indy tight under 20 minutes Any ideas
144,1,77400,5.58E+17,JetBlue,lW?u8x48>Tha,"hey @JetBlue, I'm trying to get a flight home for my birthday and your website is sucking hardcore right now :/"
145,0,77401,5.58E+17,SouthWest,lW?u8x48>Tha,@SouthwestAir does not joke around when it comes to weight limit. I got a lesson from miss Florence today
146,1,77402,5.58E+17,JetBlue,lW?u8x48>Tha,"I hate to be @JetBlue today, but they really should have anticipated the site traffic."
147,1,77403,5.58E+17,United,lW?u8x48>Tha,Btw @united you're the worst. If cats pissed on this plane and the baby next to me puked on my chest my experience would be no worse.
148,1,77404,5.58E+17,United,lW?u8x48>Tha,"@united  It has now been in excess of  2 months since that email, and you have failed to notify me of the  results of the review you claim"
149,1,77405,5.58E+17,JetBlue,lW?u8x48>Tha,Classic @jetblue not prepared for the traffic surge. Ugh.
150,1,77406,5.58E+17,United,lW?u8x48>Tha,What a way to get my 2015 flying season off to a crap start. My @united flight is delayed because the captain got sick and isn't here!!
151,1,77407,5.58E+17,JetBlue,lW?u8x48>Tha,What 👏 Is 👏 With 👏 Your 👏 FUCKING WEBSITE @JetBlue?!?!??!!
152,0,77408,5.58E+17,American,lW?u8x48>Tha,@AmericanAir Anxiously awaiting regular service btw ORD and HAV! Or even MIA and HAV. Q: Can FF miles be earned on MIA/TPA-HAV charter?
153,1,77409,5.58E+17,JetBlue,lW?u8x48>Tha,Go awf! RT @FoxxFiles: What ðŸ‘ Is ðŸ‘ With ðŸ‘ Your ðŸ‘ FUCKING WEBSITE @JetBlue?!?!??!!
154,1,77410,5.58E+17,JetBlue,lW?u8x48>Tha,Yeah it was buggin RT @ILuvKaraoke: Go awf! RT @FoxxFiles: What ðŸ‘ Is ðŸ‘ With ðŸ‘ Your ðŸ‘ FUCKING WEBSITE @JetBlue?!?!??!!
155,1,77411,5.58E+17,American,lW?u8x48>Tha,@AmericanAir I'd really like an email with info about why my flight outta Miami-&gt;London on jan 15th was delayed. Insurance-purposes!
156,1,77412,5.58E+17,JetBlue,lW?u8x48>Tha,Twitter. Lmaoo 😂 RT @FoxxFiles: What 👏 Is 👏 With 👏 Your 👏 FUCKING WEBSITE @JetBlue?!?!??!!
157,1,77413,5.58E+17,United,lW?u8x48>Tha,@united 1 hour and counting on Tarmac after landing flight 6149 @fly2ohare we can see empty gates!!! What's the problem?!?!
158,1,77414,5.58E+17,JetBlue,lW?u8x48>Tha,.@JetBlue You gonna fix this or am I gonna have to tell my grandparents I'll never see them again. #BreakTheIce #BreakTheirHearts
159,1,77415,5.58E+17,JetBlue,lW?u8x48>Tha,I am fed up RT @FoxxFiles: What ðŸ‘ Is ðŸ‘ With ðŸ‘ Your ðŸ‘ FUCKING WEBSITE @JetBlue?!?!??!!
160,1,77416,5.58E+17,JetBlue,lW?u8x48>Tha,Yall niggas put the secret out on Twitter lol RT @FoxxFiles: What 👏 Is 👏 With 👏 Your 👏 FUCKING WEBSITE @JetBlue?!?!??!!
161,1,77417,5.58E+17,United,lW?u8x48>Tha,Hey @united this waiting stinks!  Lets get a move on. #flight675
162,1,77418,5.58E+17,JetBlue,lW?u8x48>Tha,I've been trying for an hour to book a flight from jfk to RDU for @JetBlue #breaktheice promo but it keeps messing up
163,1,77419,5.58E+17,JetBlue,lW?u8x48>Tha,Yall fiends broke the @JetBlue website
164,1,77420,5.58E+17,VirginAmerica,lW?u8x48>Tha,@JetBlue Lost a customer. @VirginAmerica What up?
165,1,77421,5.58E+17,American,lW?u8x48>Tha,@AMERICANAIR @aairwaves rude agents on the phone! someone better call me now!  Record locator RWHUXU
166,1,77422,5.58E+17,United,lW?u8x48>Tha,"@united, you mean united delays cancelations and lost baggage ! http://t.co/844x85RLdm"
167,0,77424,5.58E+17,JetBlue,lW?u8x48>Tha,So the @jetblue #breaktheice offers are clearly only for old retired people who can just up and leave whenever. You got us good!
168,0,77425,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Had $280 RT tickets in my cart and then the site timed out.  Now they're no longer available.  Any way to recover?
169,1,77426,5.58E+17,JetBlue,lW?u8x48>Tha,Put my CC number in and confirmed travel insurance for my flight. Got kicked off the site and can't book. Thanks for nothing @JetBlue
170,1,77427,5.58E+17,JetBlue,lW?u8x48>Tha,"@JetBlue I've been on hold for over 30 min and tried booking tix online through 3 diff internet browsers- not working, this is awful service"
171,1,77428,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue how am I supposed to book a trip successfully if your servers keep crashing. Very frustrating.
172,1,77429,5.58E+17,JetBlue,lW?u8x48>Tha,"@JetBlue healthwarning regarding @JetBlueAirlines #breaktheice ""promo""! Website keeps crashing making it impossible to purchase - bad form."
173,1,77430,5.58E+17,JetBlue,lW?u8x48>Tha,Good excuse to spend a few nights @CharlestonPlace! $32 one way from NY to Charleston @JetBlue  http://t.co/5PIXc4FWPM
174,0,77431,5.58E+17,American,lW?u8x48>Tha,@AmericanAir Resolved the issue with help from customer service.
175,1,77432,5.58E+17,JetBlue,lW?u8x48>Tha,im so annoyed by @jetblue. lets me go to the passenger info page then bounces me out. WHYYYYY
176,1,77433,5.58E+17,JetBlue,lW?u8x48>Tha,genius marketing from @jetblue - everyone is talking about this $32 thing only to later realize the flight days and times all suck
177,0,77434,5.58E+17,JetBlue,lW?u8x48>Tha,Missed the #BreakTheIce sale on @JetBlue cause the website wasn't working.. Woulda booked all of 2015's vacations today ðŸ˜’.
178,1,77435,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue your website sucks!
179,1,77436,5.58E+17,JetBlue,lW?u8x48>Tha,Dear @JetBlue your #BreakTheIce promo is terrible because the site is down and won't load properly and you can't call in b/c it's to busy
180,1,77439,5.58E+17,JetBlue,lW?u8x48>Tha,Anndd @JetBlue.com is down...#BreakTheIce broke the servers.
181,0,77440,5.58E+17,SouthWest,lW?u8x48>Tha,Can't wait to have enough $$$ to buy a @SouthwestAir ticket to so my best friend @therealKirby
182,1,77441,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Everytime I get to pay for my flight your website crashes &amp; I have to start over... HELP!!! #BreakTheIce #Broken
183,1,77442,5.58E+17,JetBlue,lW?u8x48>Tha,@airfarewatchdog @JetBlue it was horrible!
